Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count,Annual_Return_5Y,Annual_Volatility_5Y,Weight,BL_Expected_Return
O'Reilly Automotive,ORLY,102.87,1580.0,14.359191212209584,22,0.2653867999685775,0.2231687017565038,0.240948760736763,0.0744354371524879
Constellation Energy,CEG,312.52,356.67,0.141270958658646,32,0.6803966659715761,0.4949951103942768,0.08678077901999696,0.2012961627941141
Axon Enterprise,AXON,763.51,839.43,0.099435501827088,16,0.5525697945110977,0.4660125299761131,0.06489202669762302,0.16695879992075316
Gilead Sciences,GILD,116.14,126.14,0.0861029791630789,58,0.138171416598632,0.234586753540917,0.05649608302899097,0.03842917504461122
Thomson Reuters,TRI,176.09,182.0,0.0335623828723947,16,0.1815482150904319,0.2048261163716895,0.05205008445688859,0.05504727324181065
Keurig Dr Pepper,KDP,35.2,38.67,0.0985795454545455,23,0.0558483115639386,0.1915602307511777,0.041806276419499785,0.028064031569748932
American Electric Power,AEP,113.14,115.0,0.0164398090860879,33,0.0892674379719843,0.2002379695922515,0.03821579448367771,0.024251475691343748
Electronic Arts,EA,171.55,177.14,0.0325852521130864,55,0.06893234932669,0.2497263487070728,0.0335583999934091,0.04529949131740914
AstraZeneca,AZN,80.46,97.0,0.2055679840914741,9,0.1003177747618886,0.2402474575133458,0.03286149055715876,0.037196264283813445
Diamondback Energy,FANG,138.0,208.25,0.5090579710144927,61,0.3600116018102547,0.4598890754917062,0.027799230751675917,0.10674304427075576
Coca-Cola Europacific Partners,CCEP,91.19,98.0,0.0746792411448624,14,0.1908015387560687,0.2548501379400706,0.024804984106618386,0.05582281332926601
Mondelez International,MDLZ,62.94,73.25,0.1638068001271051,38,0.0355556336411832,0.1872720647984994,0.02153571214444728,0.02648272432840565
Palantir Technologies,PLTR,156.18,150.0,-0.0395697272378026,66,0.831985846098489,0.7228751705020426,0.02135606888636283,0.2567212225840356
Arm Holdings,ARM,133.28,200.0,0.5006002400960383,29,0.7100279666758353,0.7750234699176827,0.02008743284707198,0.22345356677250738
MicroStrategy,MSTR,337.58,220.0,-0.3483026245630665,9,1.0919883968413335,0.9554061623529176,0.018773203831080835,0.3366283592355981
PepsiCo,PEP,148.98,153.67,0.0314807356692172,51,0.032674929288442,0.178244542899649,0.01800055125020383,0.025910354608986948
Take-Two Interactive,TTWO,227.87,258.0,0.1322245139772677,55,0.1096824937331541,0.324855915450949,0.017627358339021355,0.07678378081248508
Kraft Heinz,KHC,27.5,29.0,0.0545454545454544,32,-0.0197563272640714,0.2236230737148316,0.017317249855796923,0.018455161660717173
Broadcom,AVGO,289.6,287.17,-0.0083908839779005,88,0.51926169129774,0.4081675533803968,0.015717280760269813,0.1612141856183507
Microsoft,MSFT,504.24,601.38,0.1926463588767253,190,0.2088202237573098,0.2655689551130605,0.015403332601309612,0.10014919053480194
Costco,COST,969.68,1062.5,0.0957223001402525,101,0.2315307982922127,0.226302549799403,0.012916534260492513,0.07765292981941642
Cisco,CSCO,67.02,72.33,0.0792300805729633,75,0.1199069946818454,0.2273173853209673,0.012891106309719907,0.07471930855942166
Paccar,PCAR,97.54,111.33,0.1413778962476932,34,0.1460837422867097,0.2589647709598887,0.01200213479452377,0.07523217009772487
Baker Hughes,BKR,43.46,51.75,0.1907501150483201,37,0.2753607922568298,0.3682137601434655,0.011483916993957522,0.08721649937204011
