Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count,Annual_Return_5Y,Annual_Volatility_5Y,Weight,BL_Expected_Return
Adobe Inc.,ADBE,353.43,500.0,0.4147072970602381,134,0.0104873864171776,0.3594309798852366,1.9515639104739072e-18,0.12335108541949064
Advanced Micro Devices,AMD,163.71,193.46,0.1817237798546209,164,0.2686827649765564,0.5066491633445783,1.8690596427159907e-18,0.20798610953504165
Airbnb,ABNB,126.43,124.0,-0.0192201218065333,115,0.0931813339832151,0.483034447253591,0.004978392792151407,0.15998959447082037
Alphabet Inc.,GOOGL,199.75,187.0,-0.0638297872340425,162,0.2400567760462923,0.3102960253712412,0.003995758306559478,0.11323561240865616
Alphabet Inc.,GOOG,200.62,199.0,-0.0080749676004386,70,0.2399281971095504,0.3090895550876713,0.004448883980105784,0.11324796006869764
Amazon,AMZN,221.95,255.63,0.1517458887136742,252,0.1279974095365226,0.3544636512363129,2.300117202245459e-19,0.13774944125091304
American Electric Power,AEP,113.14,115.0,0.0164398090860879,33,0.0892674379719843,0.2002379695922515,0.035730597363600194,0.024817361518802025
Amgen,AMGN,295.76,304.67,0.0301257776575603,56,0.0718324261912075,0.2348586176251611,0.006658897742766618,0.03836886600545239
Analog Devices,ADI,246.95,236.33,-0.0430046568131199,57,0.206664839779273,0.3260759555674385,3.3703951705120005e-19,0.13204046963286525
Apple Inc.,AAPL,224.9,225.0,0.0004446420631392,188,0.1619030014630503,0.2930919805666431,0.0,0.10976647500186393
Applied Materials,AMAT,159.84,187.83,0.1751126126126125,92,0.2821845824258087,0.4337642492857813,2.6355164271557628e-18,0.18179804573277994
AppLovin,APP,418.76,458.63,0.0952096666348265,48,0.7339127108023863,0.781597541159132,0.0,0.25512623328837475
Arm Holdings,ARM,133.28,200.0,0.5006002400960383,29,0.7100279666758353,0.7750234699176827,0.020453304709326017,0.23942350930140088
ASML Holding,ASML,735.4,800.0,0.0878433505575198,9,0.2247788380674648,0.4141973004895733,0.0,0.1742619567058366
AstraZeneca,AZN,80.46,97.0,0.2055679840914741,9,0.1003177747618886,0.2402474575133458,0.03103095574542904,0.03901710658807811
Atlassian,TEAM,164.59,253.29,0.5389148793972902,57,0.1646507098639837,0.5681838385136229,1.8157025213986554e-18,0.18826666290539223
Autodesk,ADSK,286.06,348.83,0.2194294903167166,79,0.0900622906601829,0.3499980117057826,0.0,0.14265236325122704
Automatic Data Processing,ADP,304.94,315.0,0.032990096412409,14,0.1809408107470055,0.2167076360579761,1.0879253071612224e-19,0.07367022256403777
Axon Enterprise,AXON,763.51,839.43,0.099435501827088,16,0.5525697945110977,0.4660125299761131,0.0653935189779163,0.1756285030428242
Baker Hughes,BKR,43.46,51.75,0.1907501150483201,37,0.2753607922568298,0.3682137601434655,0.01135904822674836,0.09140382723396413
Biogen,BIIB,139.12,180.75,0.299238067855089,89,-0.0480724219993385,0.4429819474439231,4.192313029464803e-18,0.06517433237666734
